Beacon, I_payload,Q_payload
7336,1726,2816
7336,1454,2368
7336,1380,1786
7336,1698,1406
7336,2216,1174
7336,2794,1286
7336,3174,1712
7336,3180,2298
7336,2794,2778
7336,2208,2956
7336,1484,2762
7336,1124,2242
7336,1236,1572
7336,1686,1116
7336,2394,1032
7336,2974,1416
7336,3164,2152
7336,2832,2794
7336,2090,3014
7336,1318,2700
7336,790,1892
7336,910,1088
7336,1726,904
7336,2522,1152
7336,2962,1768
7336,2974,2508
7336,2414,2998
7336,1550,2970
7336,954,2338
7336,960,1388
7336,1608,892
7336,2378,1016
7336,2806,1776
7336,2506,2604
7336,1760,2914
7336,920,2550
7336,716,1762
7336,1186,1050
7336,2068,960
7336,2776,1518
7336,2762,2392
7336,1994,2878
7336,1260,2642
7336,762,1752
7336,1142,994
7336,2084,884
7336,3088,1542
7336,3186,2492
7336,2310,2940
7336,1236,2678
7336,1040,1938
7336,1458,1136
7336,2362,992
7336,3040,1676
7336,2972,2580
7336,2144,2976
7336,1396,2650
7336,1156,1718
7336,1718,1044
7336,2516,1238
7336,2730,2074
7336,2356,2838
7336,1542,2802
7336,1118,2086
7336,1354,1188
7336,2274,1064
7336,2866,1736
7336,2746,2682
7336,2008,2990
7336,1176,2356
7336,1148,1428
7336,2044,1038
7336,2978,1460
7336,3208,2436
7336,2402,3020
7336,1376,2764
7336,1022,1748
7336,1598,1000
7336,2590,1142
7336,2860,2002
7336,2334,2812
7336,1168,2636
7336,716,1766
7336,1260,1026
7336,2328,1030
7336,2810,1802
7336,2632,2760
7336,1716,2964
7336,1144,2330
7336,1262,1280
7336,2176,968
7336,2904,1614
7336,2824,2636
7336,1958,3038
7336,1148,2570
7336,1102,1564
7336,1896,1000
7336,2884,1362
7336,3168,2300
7336,2348,2962
7336,1182,2674
7336,886,1802
7336,1610,1144
7336,2632,1166
7336,3168,1998
7336,2720,2878
7336,1514,2950
7336,838,2268
7336,988,1252
7336,1962,972
7336,2792,1512
7336,2708,2510
7336,1954,3116
7336,1194,2818
7336,894,1882
7336,1448,1066
7336,2410,1016
7336,3144,1864
7336,3140,2882
7336,2258,3286
7336,1316,2850
7336,1038,1858
7336,1646,1140
7336,2580,1134
7336,3056,1846
7336,2904,2660
7336,2072,2918
7336,1380,2528
7336,1262,1698
7336,1906,1106
7336,2702,1108
7336,3154,1850
7336,2960,2744
7336,1954,3096
7336,878,2682
7336,554,1742
7336,1108,936
7336,2102,658
7336,3134,1122
7336,3504,2094
7336,3072,3006
7336,1956,3196
7336,1124,2702
7336,788,1756
7336,1316,1100
7336,2156,884
7336,2960,1292
7336,3264,2134
7336,2888,2888
7336,2060,3140
7336,1236,2770
7336,894,2006
7336,1076,1184
7336,1706,740
7336,2494,886
7336,3038,1580
7336,3138,2396
7336,2572,2980
7336,1700,3098
7336,1082,2814
7336,804,2102
7336,904,1328
7336,1488,876
7336,2310,886
7336,3044,1360
7336,3460,2038
7336,3262,2752
7336,2878,3288
7336,2190,3462
7336,1486,3212
7336,1060,2672
7336,694,1794
7336,956,1096
7336,1486,756
7336,2166,764
7336,2654,1080
7336,3058,1686
7336,3112,2370
7336,2998,2994
7336,2458,3322
7336,1726,3276
7336,1366,3124
7336,866,2664
7336,584,2086
7336,700,1550
7336,1066,1148
7336,1538,882
7336,2082,816
7336,2680,1002
7336,3108,1274
7336,3276,1612
7336,3322,2054
7336,3222,2494
7336,2846,2846
7336,2494,3058
7336,1918,3078
7336,1582,3026
7336,1066,2772
7336,960,2586
7336,886,2346
7336,854,2008
7336,876,1686
7336,890,1394
7336,1172,1182
7336,1454,1110
7336,1694,970
7336,1914,888
